time,fx,fy,fz,f_normal,f_tangent,x_actual,y_actual,z_actual,x_desired,y_desired,z_desired,pos_error_normal,pos_error_tangent
0.03190755844116211,-1.6221140855392844,-3.698383035313012,-24.898003419891705,18.268091702773255,17.39243200413335,0.5975737444366628,-0.2098245572136191,0.2998559838837733,0.6,-0.21477837305006856,0.25,0.038023489711627834,0.03271483404464831
0.06574130058288574,-2.590767549772443,-4.138034989861615,-23.511915333693473,16.70252465713037,17.25315167762097,0.5972989096467254,-0.21297049418600228,0.2979677255458306,0.6,-0.21827956479296046,0.25,0.03595629128573492,0.03230371388589452
0.10001134872436523,-3.2667428694596317,-2.7138588770475445,-22.248407332643964,16.34431233910978,15.680934984259217,0.5970536833349166,-0.21606395184226562,0.29603791715811223,0.6,-0.22181336408703312,0.25,0.033819963160679,0.03189727936860368
0.13379812240600586,-3.8650031695383773,-1.1507872569397612,-20.13163470378162,15.416881685004265,13.55968420607062,0.5968582802965842,-0.21925192483945619,0.2940182733792714,0.6,-0.2252294519570553,0.25,0.03173958008868483,0.03123793655513593
0.16898488998413086,-2.6647683369165494,-1.6208114914476046,-22.069200987157007,16.537716296701333,14.942609948787144,0.5967634589899182,-0.22269960693231572,0.29186340323401194,0.6,-0.22862169462351958,0.25,0.02971646397187122,0.03024934081387908
0.20305585861206055,-3.463941685771853,-0.37396664219664644,-18.431807245356055,14.277469661491786,12.166516405571707,0.5967081366869792,-0.22580358214120555,0.2897774454091555,0.6,-0.2318943872079524,0.25,0.02766094976290236,0.029411754315668774
0.23704862594604492,-3.391978351058929,0.3021281291645681,-17.137717911440827,13.563602449946595,11.014847358561415,0.5967156146845817,-0.22904608982187732,0.28762473773054903,0.6,-0.23519732469457386,0.25,0.025628936408551666,0.028414844451769006
0.27121710777282715,-2.681555007112143,-0.8003508362636645,-18.183306609350435,13.5839025844461,12.40731754019385,0.5968044825733133,-0.23204556816029928,0.2855982888008605,0.6,-0.23839827184779036,0.25,0.023649395633372157,0.02754110432591676
0.30521559715270996,-2.4237631273714006,0.20784190409668168,-16.401196433509977,12.74254103409682,10.608709553929867,0.596910692942827,-0.23486424651191928,0.28353779095532033,0.6,-0.24144001295164225,0.25,0.02165823637719235,0.026617451823112485
0.33936381340026855,-3.2184604870746356,1.5346446403717129,-13.830172569956764,11.530850679359716,8.427738605591438,0.5969964120698887,-0.23765252990218366,0.2814811816343973,0.6,-0.24445943747350413,0.25,0.019686971878061083,0.02566794628537224
0.3731987476348877,-2.666522102038091,0.9612173559645861,-13.501848030065602,10.846430571934413,8.52579163487228,0.5971288371819822,-0.2402644533426834,0.2796485124626891,0.6,-0.24744990337328068,0.25,0.017827571256755815,0.024921602324194665
0.40714478492736816,-3.2723638816139458,2.3678400275457814,-12.525984119474325,10.960128727376492,7.286349443335742,0.5971855731964913,-0.24295137182448506,0.27760808802528836,0.6,-0.2503149942862764,0.25,0.015947088202542026,0.023875527978759362
0.4415273666381836,-3.0936792023999273,2.5783873442620235,-11.548225978556557,10.313608170285583,6.573426965140739,0.597170998156534,-0.2456012084129165,0.27566140867710043,0.6,-0.25310185446500516,0.25,0.014191580880744192,0.022833525133616764
0.4761388301849365,-3.15900250526467,2.798637920175737,-10.624421367670934,9.726730843726951,6.0067218620498455,0.5971601609921617,-0.24816664285204454,0.2737737064465438,0.6,-0.25587911978147515,0.25,0.012455810936834986,0.021853806947296384
0.5113201141357422,-3.4686474603483317,3.100975069143273,-9.731291804763208,9.230861870259876,5.580035027243373,0.5971559152134981,-0.25060402979080115,0.27197931691686794,0.6,-0.25861492462428026,0.25,0.010757145637953942,0.020967533096715014
0.5444810390472412,-3.160979906481129,2.5882549216783906,-9.39383250688888,8.605296101924832,5.557321807710026,0.5971605497573123,-0.2527567885677947,0.2703759040092675,0.6,-0.2610896331415342,0.25,0.009215737292479901,0.02019273202718436
0.5786178112030029,-2.913270011801801,2.6342828350897647,-7.01904800374559,6.883764663797473,4.160217199768596,0.5972240272529461,-0.25489650583614964,0.2687949532525023,0.6,-0.2635851533007901,0.25,0.007679889497827021,0.01942854046299159
0.6137588024139404,-2.838000525173912,3.465203930214369,-5.979212161139578,6.690303079532709,3.3245613290741183,0.5973896781604947,-0.25723716788651674,0.26709495060230964,0.6,-0.2660851611218537,0.25,0.006193496614404021,0.018411374206754358
0.6473724842071533,-3.5821984563265596,-2.128292119639206,-11.603783780484742,6.816425419294661,10.273554188033524,0.597197729464809,-0.25839272664672797,0.26618572849320354,0.6,-0.268372953670968,0.25,0.004683334742240797,0.01864140107812692
0.6818110942840576,-3.208310621878423,-3.7774641519077625,-12.261516614496783,6.109345309481067,11.729585757498365,0.5969297305963946,-0.259242145864458,0.2656012958889864,0.6,-0.2706256352034264,0.25,0.0032386835824061012,0.019285272769911245
0.7158865928649902,-3.8207431055326513,-5.522531742298989,-14.280930233022703,6.286579169557582,14.474816937996895,0.5966472308456707,-0.2602569558400502,0.2650762457265536,0.6,-0.2728452915149041,0.25,0.0019687720501225547,0.019827364370664662
0.7498326301574707,-4.1360057541615545,-5.662048705113998,-13.92521686952192,5.880843916530791,14.43927556458984,0.5963086808888745,-0.26151279867458793,0.2645258813519083,0.6,-0.27493514604220975,0.25,0.0009300837106757492,0.020097796371197463
0.784229040145874,-4.6586846125507435,-5.55658381868346,-14.437598850709426,6.250118131498011,14.898296881509573,0.5959918702623971,-0.2631015233327195,0.2638757335655668,0.6,-0.27696927150198936,0.25,7.757606236742307e-05,0.020022724770042875
0.8190774917602539,-5.11891783851864,-4.644066079753347,-13.554107622090864,6.199245042473061,13.894382459296807,0.595705255372255,-0.2649104991438795,0.26319539342114645,0.6,-0.27892610211534197,0.25,0.0005930284063646196,0.019714174670000556
0.8531765937805176,-5.12053324728701,-4.078315030512,-12.24319958541361,5.616831055018289,12.696442777893573,0.5954464898068825,-0.2668010620338162,0.26250300342479915,0.6,-0.2807874561159665,0.25,0.0011454922369993018,0.019270874829014566
0.8868622779846191,-5.44503555004299,-2.8438965153302567,-11.520072871263803,5.930048404643795,11.631111916276508,0.5952744892025228,-0.2688148381275779,0.26174448433714836,0.6,-0.2825524417052431,0.25,0.0015896781248707532,0.01861338336141453
0.9210169315338135,-5.0268162970163655,-3.3023467938646105,-11.344474627841992,5.432234491585264,11.634530907650694,0.5951750574502215,-0.27072612833293175,0.261044617722066,0.6,-0.28423149051625,0.25,0.001993651908675783,0.017991214828489876
0.9552342891693115,-4.9307190010172715,-1.6997190334625167,-9.711316957000601,5.412001736023677,9.603173897639865,0.5952340973680199,-0.2727279713169873,0.2602576470194833,0.6,-0.2858458247163376,0.25,0.002348102874578593,0.017160933569333344
0.989077091217041,-4.371804538435473,-2.2774035818354785,-10.008853755198025,5.166488408270857,9.88856880529162,0.5953669315974665,-0.2745823799835122,0.25955542892281236,0.6,-0.28737825492792135,0.25,0.002677884449496991,0.01641142575127382
1.0227837562561035,-4.119339242976811,-1.1257303993285617,-8.360042006050287,4.8437977831076955,8.04140224774184,0.5955945757266823,-0.27641927504565245,0.2588058140652102,0.6,-0.2888126585907229,0.25,0.002977002618500895,0.015546174303784603
1.0579049587249756,-3.7047829331437043,-2.565044613530171,-8.905124823054425,4.136138689018025,9.082867130510135,0.5958189136673722,-0.2781506798467842,0.2581172923558807,0.6,-0.2901806540949542,0.25,0.0032503166789021264,0.014748818258091396
1.0928349494934082,-3.2637170191984652,-1.8646686885716293,-8.38502152252161,4.271175995117793,8.13599899529402,0.5960769990640715,-0.27981316293101116,0.2574427605231105,0.6,-0.29148224771077685,0.25,0.0035074300069063637,0.013951705805803091
1.1261451244354248,-2.998310519967137,-1.526739094919645,-7.070220555846944,3.6099298767996784,6.94818128944628,0.5963092179234493,-0.28132627653453085,0.2568129643647662,0.6,-0.2926350887480673,0.25,0.003722915798641721,0.013193463813927619
1.1610488891601562,-2.6839520221495423,-1.1875273871284613,-6.756298574395804,3.631019119707108,6.409141153936693,0.5965422626625779,-0.2828153928956569,0.25616354621291976,0.6,-0.29374464534331435,0.25,0.003931186700139948,0.012407239000143002
1.1940062046051025,-2.3871291285936764,-0.9611075109155236,-6.127781379811447,3.3627739742849068,5.732675549929074,0.5967580285848862,-0.28416637218382135,0.255577615861326,0.6,-0.2946992552684876,0.25,0.004073901361096117,0.011660408703310437
1.2281849384307861,-2.1412998837987116,-0.5470012813202405,-5.448666292192192,3.2043494472771954,4.929957867723425,0.597042015300501,-0.28552654456683585,0.25494869974567497,0.6,-0.29562515329092814,0.25,0.004213746769370344,0.010838152009510072
