time,fx,fy,fz,time2,x_actual,y_actual,z_actual,time3,x_desired,y_desired,z_desired
0.029688358306884766,3.127337704764957,-3.6652218345550382,-35.50532847681852,0.029534101486206055,0.3932632774137851,-0.005929358743698815,0.2584430034607625,0.008580207824707031,0.39682790637016296,-0.00503051420673728,0.11629283428192139
0.06334877014160156,3.0482187063486825,-3.313743524531152,-35.43883162232659,0.06384682655334473,0.3932631126928898,-0.005945032462147566,0.2584400501934166,0.01348876953125,0.39682790637016296,-0.00503051420673728,0.11629283428192139
0.09911155700683594,3.053643755842051,-3.3341373657656246,-35.43695686898002,0.0985410213470459,0.3932611237505366,-0.005952784162532043,0.2584422867057418,0.018616437911987305,0.39682790637016296,-0.00503051420673728,0.11629283428192139
0.13332509994506836,3.3269233274873877,-4.158378892355045,-35.650729913575766,0.13314080238342285,0.393260989998416,-0.005952053912150741,0.25844518696374624,0.0234987735748291,0.39682790637016296,-0.00503051420673728,0.11629283428192139
0.16729736328125,3.104617651685449,-3.5842703615415186,-35.56302619795732,0.16721343994140625,0.39326213069352534,-0.005945665380752048,0.25844922788474095,0.02898263931274414,0.39682790637016296,-0.00503051420673728,0.11629283428192139
0.20202064514160156,3.097484224032074,-3.5277390824546107,-35.56927745267122,0.20215868949890137,0.39325715757480084,-0.005964563292084089,0.25844296370912745,0.033712148666381836,0.39682790637016296,-0.00503051420673728,0.11629283428192139
0.23583555221557617,3.1074623535563988,-3.778541814992713,-35.70418612596151,0.2360091209411621,0.39325259870521667,-0.005975740784909503,0.25844262224170883,0.038580894470214844,0.39682790637016296,-0.00503051420673728,0.11629283428192139
0.2697901725769043,2.969373579143886,-3.4065805707560433,-35.55241144114385,0.27005910873413086,0.39325253109955965,-0.005974056034992671,0.2584438154777361,0.043649911880493164,0.39682790637016296,-0.00503051420673728,0.11629283428192139
0.30478978157043457,2.9679487873646737,-3.3558349814501027,-35.5101683917672,0.30487775802612305,0.3932464209806812,-0.005973308079370457,0.25843574816767595,0.048818349838256836,0.39682790637016296,-0.00503051420673728,0.11629283428192139
0.337921142578125,3.114765064873752,-3.576957722939989,-35.51558806218184,0.33802127838134766,0.39324868114513134,-0.0059899263325120305,0.2584350774663753,0.0536651611328125,0.39682790637016296,-0.00503051420673728,0.11629283428192139
0.3731358051300049,3.11836244356744,-3.5971215949434217,-35.51416912679369,0.37337398529052734,0.3932476344527767,-0.005994955400183114,0.2584373472760967,0.05861306190490723,0.39682790637016296,-0.00503051420673728,0.11629283428192139
0.4083685874938965,3.1185122699428693,-3.610694627493163,-35.51229545363597,0.4086925983428955,0.393248394372117,-0.005993109742762239,0.2584392202672805,0.06353163719177246,0.39682790637016296,-0.00503051420673728,0.11629283428192139
0.4431798458099365,3.1587201457517136,-3.5265442361086583,-35.52042583364927,0.44341206550598145,0.39324428113854343,-0.005996795115802803,0.2584303286167278,0.06874632835388184,0.39682790637016296,-0.00503051420673728,0.11629283428192139
0.4782078266143799,3.112939074974669,-3.563871994110042,-35.51757256255739,0.478076696395874,0.3932432479316386,-0.006011973376007396,0.2584344986397661,0.07364463806152344,0.39682790637016296,-0.00503051420673728,0.11629283428192139
0.5119221210479736,3.3173783899757607,-4.099148738730671,-35.65813419029522,0.5118081569671631,0.39324604740806257,-0.006013991227514857,0.25844107594261795,0.07877898216247559,0.39682790637016296,-0.00503051420673728,0.11629283428192139
0.545360803604126,3.0953830876432784,-3.5302753997031977,-35.56971856318734,0.5452356338500977,0.3932469316086153,-0.006008650672596554,0.2584454490037993,0.0835425853729248,0.39682790637016296,-0.00503051420673728,0.11629283428192139
0.5794363021850586,3.137803847487116,-3.6784633719537037,-35.72216336407724,0.5796465873718262,0.3932402051455961,-0.006019465934406728,0.2584344227400475,0.0886998176574707,0.39682790637016296,-0.00503051420673728,0.11629283428192139
0.6133849620819092,2.9571204911774167,-3.327117071285889,-35.56134664012897,0.6132957935333252,0.3932374085622803,-0.006033005045459516,0.2584373064288127,0.09369421005249023,0.39682790637016296,-0.00503051420673728,0.11629283428192139
0.6477270126342773,2.7269791054348627,-3.4794583737919003,-35.369393542257974,0.6476335525512695,0.39323634166295707,-0.006037534793832081,0.25843583477784765,0.09918785095214844,0.39682790637016296,-0.00503051420673728,0.11629283428192139
0.6825160980224609,2.7267659291507593,-3.491527419077829,-35.36760481606189,0.6827094554901123,0.3932371806161538,-0.0060348136694138195,0.2584375816406912,0.10384416580200195,0.39682790637016296,-0.00503051420673728,0.11629283428192139
0.7163887023925781,3.139491417105068,-3.499026078700636,-35.532812329929996,0.7166531085968018,0.39323538308230355,-0.006039374625853722,0.25842946176924103,0.10872197151184082,0.39682790637016296,-0.00503051420673728,0.11629283428192139
0.7501778602600098,3.0356944416085296,-3.24008733051613,-35.44749757657429,0.7502596378326416,0.3932367668492967,-0.006051186775391935,0.2584362249978681,0.11356449127197266,0.39682790637016296,-0.00503051420673728,0.11629283428192139
0.7844583988189697,3.3108704137912035,-4.067536620166549,-35.66203198928108,0.7841305732727051,0.39323570500703214,-0.006053209936442599,0.2584392737330184,0.11880183219909668,0.39682790637016296,-0.00503051420673728,0.11629283428192139
